,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,500.00","12,000.00","9,500.00",Rs./Quintal,2.80,Metric Tonnes,30-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,505.00","14,005.00","11,500.00",Rs./Quintal,1.50,Metric Tonnes,30-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,505.00","14,005.00","11,500.00",Rs./Quintal,2.70,Metric Tonnes,28-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"8,505.00","15,495.00","12,000.00",Rs./Quintal,5.50,Metric Tonnes,27-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,255.00","15,030.00","12,000.00",Rs./Quintal,5.50,Metric Tonnes,26-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,005.00","14,255.00","11,500.00",Rs./Quintal,11.00,Metric Tonnes,25-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"7,005.00","16,010.00","12,000.00",Rs./Quintal,6.60,Metric Tonnes,24-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,255.00","15,525.00","11,500.00",Rs./Quintal,4.10,Metric Tonnes,23-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,250.00","17,855.00","11,700.00",Rs./Quintal,13.80,Metric Tonnes,21-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,250.00","16,755.00","11,500.00",Rs./Quintal,5.50,Metric Tonnes,20-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,505.00","13,950.00","11,500.00",Rs./Quintal,4.10,Metric Tonnes,19-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"5,505.00","13,310.00","10,000.00",Rs./Quintal,2.80,Metric Tonnes,18-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,255.00","16,400.00","11,500.00",Rs./Quintal,13.80,Metric Tonnes,18-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,505.00","12,505.00","10,500.00",Rs./Quintal,1.10,Metric Tonnes,17-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,125.00","16,125.00","11,500.00",Rs./Quintal,6.10,Metric Tonnes,17-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,005.00","13,255.00","11,000.00",Rs./Quintal,2.80,Metric Tonnes,16-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,505.00","13,505.00","11,000.00",Rs./Quintal,2.00,Metric Tonnes,15-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,005.00","15,025.00","11,500.00",Rs./Quintal,3.90,Metric Tonnes,14-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,005.00","14,125.00","11,000.00",Rs./Quintal,5.50,Metric Tonnes,13-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,005.00","13,250.00","11,000.00",Rs./Quintal,11.00,Metric Tonnes,12-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,255.00","14,000.00","11,000.00",Rs./Quintal,13.80,Metric Tonnes,11-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,375.00","14,005.00","11,000.00",Rs./Quintal,12.40,Metric Tonnes,10-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,505.00","12,855.00","11,200.00",Rs./Quintal,1.50,Metric Tonnes,09-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Grade Range-1,"6,005.00","14,310.00","11,000.00",Rs./Quintal,13.80,Metric Tonnes,09-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,750.00","14,255.00","11,500.00",Rs./Quintal,4.10,Metric Tonnes,08-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,755.00","13,650.00","9,500.00",Rs./Quintal,2.20,Metric Tonnes,08-01-2026
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Grade Range-1,"6,505.00","16,605.00","11,000.00",Rs./Quintal,30.20,Metric Tonnes,07-11-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"7,000.00","15,500.00","11,500.00",Rs./Quintal,2.50,Metric Tonnes,05-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"8,505.00","15,605.00","12,000.00",Rs./Quintal,3.90,Metric Tonnes,04-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"7,505.00","14,400.00","11,500.00",Rs./Quintal,7.50,Metric Tonnes,03-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,505.00","14,705.00","11,500.00",Rs./Quintal,1.00,Metric Tonnes,02-12-2025
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,255.00","14,355.00","11,000.00",Rs./Quintal,2.20,Metric Tonnes,02-01-2026
Gujarat,Ahmedabad,Mandal APMC,Spices,Ajwan,Ajwan,Local,"6,505.00","14,375.00","11,500.00",Rs./Quintal,2.00,Metric Tonnes,01-12-2025
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"7,500.00","7,500.00","7,500.00",Rs./Quintal,0.10,Metric Tonnes,21-01-2026
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"8,150.00","12,500.00","10,750.00",Rs./Quintal,1.00,Metric Tonnes,15-12-2025
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"8,500.00","8,500.00","8,500.00",Rs./Quintal,0.10,Metric Tonnes,11-12-2025
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"6,925.00","6,925.00","6,925.00",Rs./Quintal,1.60,Metric Tonnes,11-11-2025
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"11,375.00","12,700.00","12,700.00",Rs./Quintal,0.10,Metric Tonnes,09-12-2025
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"7,500.00","14,000.00","12,075.00",Rs./Quintal,0.60,Metric Tonnes,05-02-2026
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"6,975.00","8,000.00","8,000.00",Rs./Quintal,0.10,Metric Tonnes,05-01-2026
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"8,150.00","12,300.00","10,500.00",Rs./Quintal,0.20,Metric Tonnes,04-02-2026
Gujarat,Amreli,Amreli APMC,Spices,Ajwan,Ajwan,FAQ,"9,000.00","10,750.00","10,750.00",Rs./Quintal,0.10,Metric Tonnes,02-12-2025
Gujarat,Banaskanth,Dhanera APMC,Spices,Ajwan,Other,Local,"8,555.00","8,555.00","8,555.00",Rs./Quintal,0.50,Metric Tonnes,13-12-2025
Gujarat,Banaskanth,Dhanera APMC,Spices,Ajwan,Other,Local,"8,975.00","8,975.00","8,975.00",Rs./Quintal,0.10,Metric Tonnes,11-12-2025
Gujarat,Banaskanth,Dhanera APMC,Spices,Ajwan,Other,FAQ,"6,955.00","6,955.00","6,955.00",Rs./Quintal,0.44,Metric Tonnes,11-11-2025
Gujarat,Banaskanth,Dhanera APMC,Spices,Ajwan,Other,Local,"7,500.00","7,500.00","7,500.00",Rs./Quintal,0.28,Metric Tonnes,10-11-2025
Gujarat,Banaskanth,Dhanera APMC,Spices,Ajwan,Other,Local,"8,495.00","8,495.00","8,495.00",Rs./Quintal,0.11,Metric Tonnes,06-12-2025
Gujarat,Banaskanth,Tharad APMC,Spices,Ajwan,Other,Local,"7,000.00","11,500.00","9,250.00",Rs./Quintal,1.90,Metric Tonnes,13-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Grade Range-3,"9,000.00","23,025.00","13,725.00",Rs./Quintal,30.60,Metric Tonnes,31-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","30,250.00","19,325.00",Rs./Quintal,68.60,Metric Tonnes,31-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","19,175.00","14,325.00",Rs./Quintal,43.20,Metric Tonnes,30-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","18,900.00","13,725.00",Rs./Quintal,28.50,Metric Tonnes,29-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,850.00","12,650.00","11,225.00",Rs./Quintal,16.90,Metric Tonnes,29-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"10,500.00","30,500.00","21,725.00",Rs./Quintal,75.80,Metric Tonnes,29-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"5,500.00","15,950.00","11,825.00",Rs./Quintal,29.70,Metric Tonnes,28-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,250.00","30,000.00","19,325.00",Rs./Quintal,802.50,Metric Tonnes,28-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","17,775.00","13,825.00",Rs./Quintal,23.10,Metric Tonnes,27-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"5,500.00","17,750.00","12,925.00",Rs./Quintal,17.60,Metric Tonnes,27-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"9,500.00","28,875.00","20,325.00",Rs./Quintal,74.30,Metric Tonnes,27-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,150.00","17,000.00","13,225.00",Rs./Quintal,52.00,Metric Tonnes,26-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,000.00","16,525.00","11,825.00",Rs./Quintal,9.50,Metric Tonnes,26-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,000.00","15,000.00","13,225.00",Rs./Quintal,5.60,Metric Tonnes,25-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,125.00","18,250.00","13,375.00",Rs./Quintal,36.50,Metric Tonnes,24-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,000.00","17,500.00","12,875.00",Rs./Quintal,31.30,Metric Tonnes,24-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,625.00","19,500.00","11,725.00",Rs./Quintal,35.20,Metric Tonnes,23-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,500.00","26,000.00","17,355.00",Rs./Quintal,781.00,Metric Tonnes,23-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","17,500.00","14,125.00",Rs./Quintal,30.20,Metric Tonnes,22-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"5,000.00","15,600.00","13,125.00",Rs./Quintal,14.00,Metric Tonnes,22-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","31,000.00","18,525.00",Rs./Quintal,81.30,Metric Tonnes,22-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","15,000.00","12,925.00",Rs./Quintal,20.60,Metric Tonnes,21-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"8,000.00","27,650.00","17,925.00",Rs./Quintal,94.90,Metric Tonnes,21-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","14,025.00","13,230.00",Rs./Quintal,17.30,Metric Tonnes,20-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,125.00","14,000.00","12,125.00",Rs./Quintal,14.20,Metric Tonnes,20-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"9,700.00","25,500.00","17,325.00",Rs./Quintal,70.40,Metric Tonnes,20-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","18,000.00","12,925.00",Rs./Quintal,13.60,Metric Tonnes,19-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,250.00","16,025.00","12,230.00",Rs./Quintal,24.30,Metric Tonnes,19-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"8,500.00","27,525.00","18,325.00",Rs./Quintal,55.80,Metric Tonnes,19-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","15,500.00","12,925.00",Rs./Quintal,44.80,Metric Tonnes,18-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,500.00","12,750.00","10,325.00",Rs./Quintal,19.60,Metric Tonnes,18-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","16,500.00","13,525.00",Rs./Quintal,45.60,Metric Tonnes,17-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","14,950.00","12,325.00",Rs./Quintal,30.50,Metric Tonnes,17-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"8,250.00","27,500.00","17,325.00",Rs./Quintal,47.40,Metric Tonnes,17-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","16,800.00","13,725.00",Rs./Quintal,43.90,Metric Tonnes,16-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,000.00","24,000.00","16,125.00",Rs./Quintal,81.30,Metric Tonnes,16-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","16,750.00","13,125.00",Rs./Quintal,24.40,Metric Tonnes,15-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,000.00","16,500.00","12,375.00",Rs./Quintal,17.50,Metric Tonnes,15-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","22,500.00","15,325.00",Rs./Quintal,54.10,Metric Tonnes,15-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,750.00","16,300.00","12,925.00",Rs./Quintal,16.40,Metric Tonnes,13-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"5,000.00","16,775.00","11,725.00",Rs./Quintal,38.70,Metric Tonnes,13-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","21,350.00","15,325.00",Rs./Quintal,39.50,Metric Tonnes,13-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","13,750.00","11,180.00",Rs./Quintal,13.80,Metric Tonnes,12-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,000.00","11,725.00","9,925.00",Rs./Quintal,20.90,Metric Tonnes,12-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","22,675.00","15,825.00",Rs./Quintal,34.40,Metric Tonnes,12-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,500.00","15,200.00","11,325.00",Rs./Quintal,25.90,Metric Tonnes,11-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","15,650.00","12,675.00",Rs./Quintal,23.40,Metric Tonnes,11-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","13,525.00","11,925.00",Rs./Quintal,10.30,Metric Tonnes,10-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,350.00","16,075.00","14,525.00",Rs./Quintal,28.90,Metric Tonnes,10-11-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","17,100.00","12,665.00",Rs./Quintal,33.90,Metric Tonnes,09-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,425.00","13,800.00","10,225.00",Rs./Quintal,13.90,Metric Tonnes,08-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,500.00","22,625.00","14,925.00",Rs./Quintal,33.70,Metric Tonnes,08-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"9,000.00","21,850.00","14,985.00",Rs./Quintal,36.00,Metric Tonnes,07-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"8,250.00","16,100.00","12,775.00",Rs./Quintal,18.00,Metric Tonnes,06-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","25,500.00","17,925.00",Rs./Quintal,53.00,Metric Tonnes,06-02-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"5,650.00","19,800.00","13,825.00",Rs./Quintal,40.90,Metric Tonnes,06-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,500.00","17,500.00","12,925.00",Rs./Quintal,13.20,Metric Tonnes,05-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"8,900.00","28,500.00","19,375.00",Rs./Quintal,75.50,Metric Tonnes,05-02-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"5,000.00","19,425.00","14,325.00",Rs./Quintal,25.60,Metric Tonnes,05-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","12,250.00","10,795.00",Rs./Quintal,16.20,Metric Tonnes,04-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"9,200.00","27,500.00","18,895.00",Rs./Quintal,60.50,Metric Tonnes,04-02-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","16,325.00","13,650.00",Rs./Quintal,13.00,Metric Tonnes,03-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,500.00","28,075.00","18,925.00",Rs./Quintal,71.50,Metric Tonnes,03-02-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,100.00","23,500.00","14,725.00",Rs./Quintal,40.50,Metric Tonnes,03-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"5,000.00","17,125.00","12,665.00",Rs./Quintal,43.50,Metric Tonnes,02-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"9,000.00","26,625.00","18,925.00",Rs./Quintal,55.80,Metric Tonnes,02-02-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","21,625.00","14,525.00",Rs./Quintal,25.30,Metric Tonnes,02-01-2026
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"7,000.00","14,575.00","12,525.00",Rs./Quintal,12.90,Metric Tonnes,01-12-2025
Gujarat,Jamnagar,Jamnagar APMC,Spices,Ajwan,Other,Local,"6,500.00","19,000.00","13,675.00",Rs./Quintal,31.20,Metric Tonnes,01-01-2026
Gujarat,Kachchh,Rapar APMC,Spices,Ajwan,Ajwan,Local,"6,805.00","6,805.00","6,805.00",Rs./Quintal,0.30,Metric Tonnes,20-12-2025
Gujarat,Kachchh,Rapar APMC,Spices,Ajwan,Ajwan,Local,"6,555.00","7,255.00","6,905.00",Rs./Quintal,0.10,Metric Tonnes,14-11-2025
Gujarat,Kachchh,Rapar APMC,Spices,Ajwan,Ajwan,Local,"7,000.00","7,000.00","7,000.00",Rs./Quintal,0.20,Metric Tonnes,13-11-2025
Gujarat,Kachchh,Rapar APMC,Spices,Ajwan,Ajwan,Local,"9,255.00","9,255.00","9,255.00",Rs./Quintal,0.10,Metric Tonnes,09-12-2025
Gujarat,Kachchh,Rapar APMC,Spices,Ajwan,Ajwan,Local,"8,425.00","8,425.00","8,425.00",Rs./Quintal,0.20,Metric Tonnes,08-12-2025
Gujarat,Kachchh,Rapar APMC,Spices,Ajwan,Ajwan,Local,"9,000.00","9,000.00","9,000.00",Rs./Quintal,2.50,Metric Tonnes,06-12-2025
Gujarat,Kachchh,Rapar APMC,Spices,Ajwan,Ajwan,Local,"8,655.00","8,655.00","8,655.00",Rs./Quintal,0.10,Metric Tonnes,04-12-2025
Gujarat,Kachchh,Rapar APMC,Spices,Ajwan,Ajwan,Local,"8,495.00","8,495.00","8,495.00",Rs./Quintal,0.06,Metric Tonnes,02-02-2026
Gujarat,Mehsana,Kadi APMC,Spices,Ajwan,Ajwan,FAQ,"5,175.00","8,125.00","7,500.00",Rs./Quintal,0.50,Metric Tonnes,29-12-2025
Gujarat,Mehsana,Kadi APMC,Spices,Ajwan,Ajwan,FAQ,"5,750.00","10,000.00","8,500.00",Rs./Quintal,1.60,Metric Tonnes,25-12-2025
Gujarat,Mehsana,Kadi APMC,Spices,Ajwan,Ajwan,FAQ,"7,505.00","9,205.00","8,500.00",Rs./Quintal,0.70,Metric Tonnes,25-11-2025
Gujarat,Mehsana,Kadi APMC,Spices,Ajwan,Ajwan,FAQ,"5,000.00","7,500.00","7,000.00",Rs./Quintal,0.80,Metric Tonnes,22-12-2025
Gujarat,Mehsana,Kadi APMC,Spices,Ajwan,Ajwan,FAQ,"6,500.00","10,055.00","9,000.00",Rs./Quintal,0.50,Metric Tonnes,21-11-2025
